Jurisdiction,County,Government Type,Subject,Ballot Measure Text,Election Results,Yes %,No %,Election Month,Election Year,Duration in Years Levy/Fee,Amount of Levy (Per $1000 A/V),Tax Amount,Bond Amount,Funding Type/Statutory Authority
Farmington,Whitman,City,Transportation,Excess levy ($1.37) for city street maintenance fund.,Passed,66.67,33.33,August,2013,1,1.37,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Farmington,Whitman,City,Other,Excess levy ($0.91) for current expense fund.,Passed,63.64,36.36,August,2013,1,0.91,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Farmington,Whitman,City,Other,Excess levy ($2.66) for current expense fund.,Passed,62.69,37.31,August,2012,1,2.66,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Farmington,Whitman,City,Transportation,Excess levy ($1.78) for street maintenance fund.,Passed,67.16,32.84,August,2012,1,1.78,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Farmington,Whitman,City,Other,Excess levy ($0.93) for the special equipment fund.,Failed,50.79,49.21,November,2011,1,0.93,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Farmington,Whitman,City,Other,Excess levy ($2.40) for current expense fund.,Failed,57.81,42.19,November,2011,1,2.4,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Farmington,Whitman,City,Transportation,Excess levy ($2.24) for street maintenance fund.,Passed,66.38,33.62,November,2011,1,2.24,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Federal Way,King,City,Other,"Advisory vote on whether to allow marijuana-related businesses. <em>(Voters opposed marijuana businesses, despite previous support for I-502.)</em>",Advisory,38.62,61.38,November,2015,,,,,N/A
Federal Way,King,City,Other,Restricting citizen initiatives to the general election only.,Passed,75.71,24.29,November,2013,,,,,N/A
Ferndale,Whatcom,Park District,Parks and Recreation,"Forming a new metropolitan park district, governed by city council ex officio.",Failed,40.56,59.44,November,2015,,,,,Metropolitan Park District Formation (Ch. 35.61 RCW)
Ferndale,Whatcom,City,"Annexation, Fire",Annexation into Whatcom County Fire District #7.,Passed,90.53,9.47,February,2015,,,,,N/A
Ferndale,Whatcom,City,Transportation,Border area fuel tax ($0.01 per gallon) for street construction and maintenance.,Failed,40.77,59.23,November,2014,,,.01 per gallon,,Border Area Fuel Tax (RCW 82.47.020)
Ferndale,Whatcom,City,Library,"Bonds ($550,000) for a new library.",Passed,62.07,37.93,April,2013,,,,"550,000",Bond (RCW 84.52.056)
Ferndale Transportation Benefit District,Whatcom,Transportation Benefit District,Transportation,"TBD sales tax (10 years, 0.2%) for transportation improvements.",Passed,62.74,37.26,February,2012,10,,0.002,,Transportation Benefit District Sales Tax (RCW 82.14.0455)
Ferry County Emergency Medical Service District No. 1,Ferry,Emergency Medical Services District,EMS,"Initial EMS levy (6 years, $0.47).",Passed,72.87,27.03,April,2014,6,0.47,,,EMS Levy (RCW 84.52.069)
Ferry County Fire Protection District No. 3,Ferry,Fire Protection District,EMS,"EMS levy renewal (6 years, $0.26).",Passed,83.11,16.89,August,2012,6,0.26,,,EMS Levy (RCW 84.52.069)
Fidalgo Pool and Fitness Center District - Fidalgo Park and Recreation District,Skagit,Park District,Parks and Recreation,"Park and recreation district regular levy (6 years, $0.14) for swimming pool and fitness center maintenance and operations.",Passed,69.38,30.62,November,2015,6,0.1394,,,Park and Recreation District Regular Levy (RCW 36.69.145)
Fidalgo Pool and Fitness Center District - Fidalgo Park and Recreation District,Skagit,Park District,Parks and Recreation,Park and recreation district regular levy ($0.139) for swimming pool and fitness center maintenance and operations.,Passed,80.54,19.46,November,2012,3,0.1394,,,Park and Recreation District Regular Levy (RCW 36.69.145)
Fircrest,Pierce,City,Other,Allowing sale of liquor for on-premises consumption within the city.,Passed,74.74,25.26,November,2015,,,,,N/A
Fircrest,Pierce,City,EMS,"EMS levy renewal (6 years, $0.50).",Passed,83.87,16.13,August,2014,6,0.5,,,EMS Levy (RCW 84.52.069)
Forks Community Hospital - Clallam County Public Hospital District No. 1,Clallam,Public Hospital District,Government Organization,Increasing size of public hospital district commission from 3 to 5.,Passed,70.91,29.09,November,2016,,,,,N/A
Forks Community Hospital - Clallam County Public Hospital District No. 1,Clallam,Public Hospital District,Hospital,"Initial EMS levy (6 years, $0.24).",Passed,66.83,33.17,February,2015,6,0.24,,,EMS Levy (RCW 84.52.069)
Franklin County,Franklin,County,Criminal Justice,"Public safety sales tax (30 years, 0.3%) for maintaining and expanding the county jail and other criminal justice purposes.",Passed,61.4,38.6,November,2011,30,,0.003,,Public Safety Sales Tax (RCW 82.14.450)
Franklin County Fire Protection District No. 3 - Pasco,Franklin,Fire Protection District,EMS,"Multi-year levy lid lift (to $1.50, 6 years) for EMS. Limit factor: 5% annually.",Passed,63.37,36.63,November,2013,Multi-year (6 years),1.5,,,Levy Lid Lift (RCW 84.55.050)
Franklin County Fire Protection District No. 3 - Pasco,Franklin,Fire Protection District,EMS,"Initial EMS levy (6 years, $0.36).",Failed,39,61,November,2012,6,0.36,,,EMS Levy (RCW 84.52.069)
Franklin County Fire Protection District No. 1 - Connell,Franklin,Fire Protection District,Fire,"Multi-year levy lid lift (to $0.70, 6 years) for fire protection services. Limit factor: 3% annually.",Failed,47.63,52.37,November,2012,Multi-year (6 years),0.7,,,Levy Lid Lift (RCW 84.55.050)
Franklin County Fire Protection District No.4 - Basin City,Franklin,Fire Protection District,Fire,"Single-year levy lid lift (increase of $0.29, permanent) for fire district operations and facility improvements.",Passed,72.42,27.58,November,2013,Single-year (permanent),0.29,,,Levy Lid Lift (RCW 84.55.050)
Friday Harbor Transportation Benefit District,San Juan,Transportation Benefit District,Transportation,"TBD sales tax (10 years, 0.2%) for transportation improvements.",Passed,56.92,43.08,November,2014,10,,0.002,,Transportation Benefit District Sales Tax (RCW 82.14.0455)
Garfield,Whitman,City,Transportation,"Excess levy ($2.63) for street maintenance, repair, and improvements.",Failed,58.25,41.75,August,2017,1,2.63,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Garfield,Whitman,City,Transportation,"Excess levy ($2.64) for street maintenance, repair, and improvement.",Failed,53.8,46.2,November,2016,1,2.64,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Garfield,Whitman,City,Transportation,"Excess levy ($2.64) for street maintenance, repair, and improvements.",Passed,62.76,37.24,August,2016,1,2.64,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Garfield,Whitman,City,Transportation,"Excess levy ($2.55) for street maintenance, repair, and improvements.",Passed,65.57,34.43,November,2015,1,2.55,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Garfield,Whitman,City,Transportation,"Excess levy ($2.55) for street maintenance, repair, and improvements.",Failed,56.13,43.87,August,2015,1,2.55,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Garfield,Whitman,City,Transportation,"Excess levy ($2.41) for street maintenance, repairs, and improvements.",Passed,67.74,32.36,August,2014,1,2.41,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Garfield,Whitman,City,Transportation,"Excess levy ($2.65) for street maintenance, repairs, and improvements.",Passed,74.6,25.4,August,2013,1,2.65,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Garfield,Whitman,City,Transportation,"Excess levy ($2.64) for street maintenance, repair, and improvements.",Passed,67.01,32.99,August,2012,1,2.64,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Garfield Cemetery District No. 2,Whitman,Cemetery District,Cemetery,Excess levy ($0.48) for cemetery maintenance and operation.,Passed,69.62,30.38,November,2017,1,0.48,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Garfield Cemetery District No. 2,Whitman,Cemetery District,Cemetery,Excess levy ($0.53) for cemetery maintenance and operation.,Passed,67.8,32.2,November,2016,1,0.53,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Garfield County Public Hospital District No. 1 - Garfield Memorial Hospital,Garfield,Public Hospital District,Hospital,"Single-year levy lid lift (increase of $0.46 to $0.75, permanent) for maintenance, development, and expansion of healthcare facilities and services.",Failed,42.77,57.23,November,2017,"1, permanent",0.75,,,Levy Lid Lift (RCW 84.55.050)
Garfield County Public Hospital District No. 1 - Garfield Memorial Hospital,Garfield,Public Hospital District,Hospital,"Excess levy ($0.97) for healthcare operations, maintenance, and capital facilities.",Passed,61.29,38.71,November,2016,1,0.97,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Garfield County Public Hospital District No. 1 - Garfield Memorial Hospital,Garfield,Public Hospital District,Hospital,"Excess levy ($1.01) for healthcare operations, maintenance, and capital expenses.",Passed,65.27,34.73,November,2015,1,1.01,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Garfield County Public Hospital District No. 1 - Garfield Memorial Hospital,Garfield,Public Hospital District,Hospital,"Excess levy ($1.38) for healthcare operations, maintenance, and capital expenses.",Passed,70.27,29.73,November,2014,,1.38,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Garfield County Public Hospital District No. 1 - Garfield Memorial Hospital,Garfield,Public Hospital District,Hospital,"Single-year levy lid lift (increase from $0.32 to $0.75, permanent) for healthcare facilities and services.",Failed,39.62,60.38,November,2013,Single-year (permanent),0.75,,,Levy Lid Lift (RCW 84.55.050)
Garfield County Public Hospital District No. 1 - Garfield Memorial Hospital,Garfield,Public Hospital District,Hospital,"Excess levy ($2.32) for healthcare facilities and services, including a new IT system.",Passed,61.13,38.87,February,2012,1,2.32,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Garfield County Transportation Authority,Garfield,County Public Transportation Authority,Transportation,"Transit sales tax (0.4%) for countywide public transportation system. <em>(Before the election, Garfield County converted its unincorporated transportation benefit area to a county transportation authority, including Pomeroy.)</em>",Passed,76.58,23.42,February,2017,,,0.004,,Transit Sales Tax (RCW 82.14.045)
Garfield Park and Recreation District No. 2,Whitman,City,Parks and Recreation,Excess levy ($0.89) for swimming pool maintenance and operation.,Passed,66.36,33.64,November,2016,1,0.89,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Garfield Park and Recreation District No. 2,Whitman,Park District,Parks and Recreation,"Excess levy ($1.60) for swimming pool maintenance, repair, and operations.",Passed,73.75,26.25,February,2015,1,1.6,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Garfield Park and Recreation District No. 2,Whitman,Cemetery District,Cemetery,Excess levy ($0.54) for cemetery maintenance and operation.,Passed,75.98,24.02,August,2014,1,0.54,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Garfield Park and Recreation District No. 2,Whitman,Park District,Parks and Recreation,"Excess levy ($1.06) for swimming pool maintenance, repair, and operation.",Passed,68.47,31.53,November,2013,1,1.06,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Garfield Park and Recreation District No. 2,Whitman,Cemetery District,Cemetery,Excess levy ($0.20) to build a reserve for future capital improvements of cemetery grounds.,Passed,75.84,24.16,November,2013,1,0.2,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Garfield Park and Recreation District No. 2,Whitman,Cemetery District,Cemetery,Excess levy ($0.42) for cemetery maintenance and operation.,Passed,79.15,20.85,February,2013,1,0.42,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Garfield Park and Recreation District No. 2,Whitman,Park District,Parks and Recreation,"Excess levy ($1.12) for swimming pool maintenance, repair, and operation.",Passed,67.27,32.73,August,2012,1,1.12,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Garfield Park and Recreation District No. 2,Whitman,Cemetery District,Cemetery,Excess levy ($0.34) for cemetery maintenance and operation.,Passed,74.45,25.55,November,2011,1,0.34,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Gold Bar,Snohomish,City,Other,Excess levy ($1.00) for city litigation expenses.,Failed,43.12,56.88,November,2012,1,1,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Granite Falls,Snohomish,City,Government Organization,Changing form of government from mayor-council to council-manager.,Passed,56.18,43.82,November,2015,,,,,N/A
Grant County Cemetery District No. 2 - Wilson Creek Cemetery District No.2,Grant,Cemetery District,Cemetery,Excess levy ($0.24) for cemetery maintenance and operation.,Passed,77.27,22.73,November,2017,1,0.245,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Grant County Cemetery District No. 2 - Wilson Creek Cemetery District No.2,Grant,Cemetery District,Cemetery,Excess levy ($0.26) for cemetery maintenance and operation.,Passed,74.55,25.45,November,2016,1,0.26,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Grant County Cemetery District No. 2 - Wilson Creek Cemetery District No.2,Grant,Cemetery District,Cemetery,Excess levy ($0.21) for cemetery maintenance and operation.,Passed,80.61,19.39,November,2015,1,0.21,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Grant County Cemetery District No. 2 - Wilson Creek Cemetery District No.2,Grant,Cemetery District,Cemetery,Excess levy ($0.21) for cemetery maintenance and operations.,Passed,70.54,29.46,November,2014,1,0.214726,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Grant County Cemetery District No. 2 - Wilson Creek Cemetery District No.2,Grant,Cemetery District,Cemetery,Excess levy ($0.215) for cemetery maintenance and operations.,Passed,73.17,26.83,November,2013,1,0.214726,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Grant County Cemetery District No. 2 - Wilson Creek Cemetery District No.2,Grant,Cemetery District,Cemetery,Excess levy ($0.225) for cemetery maintenance and operations.,Passed,73.25,26.75,November,2012,1,0.225,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Grant County Cemetery District No. 2 - Wilson Creek Cemetery District No.2,Grant,Cemetery District,Cemetery,Excess levy ($0.225) for cemetery maintenance and operations.,Passed,77.06,22.94,November,2011,1,,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Grant County Fire Protection District No. 10,Grant,Fire Protection District,Fire,"Multi-year levy lid lift (to $1.50, 6 years/permanent) to maintain service levels. Limit factor: 6% annually.",Passed,58.78,41.22,August,2017,"6, permanent",1.5,,,Levy Lid Lift (RCW 84.55.050)
Grant County Fire Protection District No. 10,Grant,Fire Protection District,EMS,"EMS levy renewal (6 years, $0.50).",Passed,69.92,30.08,August,2017,6,0.5,,,EMS Levy (RCW 84.52.069)
Grant County Fire Protection District No. 11,Grant,Fire Protection District,EMS,"EMS levy renewal (6 years, $0.50).",Passed,70.83,29.17,August,2017,6,0.5,,,EMS Levy (RCW 84.52.069)
Grant County Fire Protection District No. 11,Grant,Fire Protection District,Fire,"Multi-year levy lid lift (to $1.00, 6 years/permanent) to maintain service levels. Limit factor: 6% annually.",Passed,61.97,38.03,August,2017,"6, permanent",1,,,Levy Lid Lift (RCW 84.55.050)
Grant County Fire Protection District No. 3 - Quincy,Grant,Fire Protection District,EMS,"EMS levy renewal (6 years, $0.38).",Passed,63.09,36.91,August,2012,6,0.38,,,EMS Levy (RCW 84.52.069)
Grant County Fire Protection District No. 7,Grant,Fire Protection District,"Annexation, Fire",Annexation of the City of Soap Lake.,Passed,87.5,12.5,November,2015,,,,,N/A
Grant County Fire Protection District No. 8,Grant,Fire Protection District,EMS,"Initial EMS levy (6 years, $0.25).",Passed,66.13,34.17,August,2012,6,0.25,,,EMS Levy (RCW 84.52.069)
Grant County Fire Protection District No.13 - Ephrata,Grant,Fire Protection District,"Fire, EMS","Single-year levy lid lift (to $1.00, permanent) for fire and EMS operations.",Passed,63.54,36.46,April,2016,Single-year (permanent),1,,,Levy Lid Lift (RCW 84.55.050)
Grant County Fire Protection District No.13 - Ephrata,Grant,Fire Protection District,Fire,"Bonds (15 years, $825,000) for new, renovated, and expanded fire protection facilities.",Failed,56.85,43.15,April,2016,15,,,"825,000",Bond (RCW 84.52.056)
Grant County Fire Protection District No.13 - Ephrata,Grant,Fire Protection District,EMS,"Initial EMS levy (6 years, $0.50).",Failed,57.09,42.91,November,2013,6,0.5,,,EMS Levy (RCW 84.52.069)
